8264	10	4830
1137	10	4929
945	10	6816
2824	5	4446
7196	19	181
3181	8	8181
1494	16	3443
100	11	6112
7283	14	2071
6042	15	207
2702	12	5452
1125	19	4106
7000	12	8509
2641	12	1421
5976	16	4112
2091	13	74
1134	13	9
1226	15	5267
379	19	6825
1718	5	5409
1117	14	7374
7278	9	7280
844	12	1951
8073	12	1421
7290	10	6055
2659	9	1925
3392	12	4153
566	10	1210
2173	12	8510
1587	17	5928
4717	8	1274
352	12	5452
2942	4	7046
4740	14	4107
8588	16	8139
1856	10	505
3858	12	7985
4754	12	5433
1639	16	4090
7775	14	147
1720	10	1347
6537	19	7413
4814	5	2855
7000	12	1873
8174	9	2992
574	17	4122
4879	10	2849
4422	10	943
4754	12	6637
4292	12	8076
3799	12	4916
636	13	1682
4124	10	2317
2613	7	317
6087	9	8184
5903	10	5292
6209	11	2418
5295	16	6825
3254	15	615
1090	9	1852
6378	8	1424
6632	7	448
1853	17	6021
4148	10	6874
1619	18	2638
3325	9	2287
4981	17	2933
6341	10	6175
2519	10	6874
5695	18	6023
6466	16	6225
7043	12	8060
2798	9	8181
659	7	659
7568	16	5077
5571	13	5158
3745	13	5377
3289	12	1996
2026	11	4754
6015	15	6032
7479	18	5651
5668	10	2059
5782	9	8181
7409	16	4749
4464	10	4367
679	12	7267
6010	12	6802
895	15	5695
3239	10	5547
5023	7	2438
2808	12	2916
7916	19	2142
4518	8	7879
2006	13	5809
1093	8	230
3839	10	2446
7972	17	1928
4198	17	719
4346	7	5120
468	13	1676
4625	13	1267
3840	18	1618
694	12	6577
6256	19	5161
4561	12	263
5782	7	1718
1352	12	2916
53	12	504
1939	16	2745
1639	16	598
2032	8	2594
3782	17	1337
2165	16	6410
4754	14	6825
3745	13	3597
3124	12	6090
1999	18	6065
3771	16	896
792	8	3525
4569	18	2807
992	9	3285
8556	9	5188
4663	11	6074
6057	5	315
2926	16	701
2219	9	231
7246	15	1038
2321	5	4446
2887	5	8609
7531	10	6143
5354	17	7210
626	19	7814
5074	7	3905
8575	9	6787
2466	11	5699
3708	13	6276
4252	10	7389
830	14	4268
5405	8	8381
5572	12	2806
8432	10	2257
5543	18	1808
3210	9	526
7682	17	1848
3357	8	3875
2288	14	73
4536	15	5017
5734	16	2464
2970	4	2265
5180	12	3916
1011	16	619
6671	18	5779
3181	8	7211
1536	17	3741
2312	9	3268
898	9	2628
1820	10	4565
6991	12	6648
575	13	2366
2322	11	4197
2467	12	4011
714	18	4505
6554	12	8541
8053	18	6063
2849	16	6844
4236	8	8108
915	10	7968
7433	19	6577
6073	5	1221
714	18	4451
8300	12	3913
7705	18	3881
825	9	6018
6885	10	4160
5246	19	2055
5246	19	1559
4377	12	7238
2884	13	2655
1090	15	2171
4754	12	1996
2887	8	1483
3110	13	4707
3105	14	7329
6981	15	7403
2435	9	815
6615	12	8076
5674	15	2757
3532	7	3532
1093	5	4319
7031	10	6055
4035	16	8305
2059	16	1781
5753	14	5765
2739	15	6502
5368	7	5368
3878	18	1405
6632	10	5949
7668	16	2265
2915	13	4240
2032	11	8039
4745	10	6119
6994	9	2173
6325	12	31
3858	10	55
5782	7	5782
8652	12	2552
5129	14	6403
1591	7	1591
5171	13	4531
7156	8	3845
1719	10	6553
4013	12	6280
2849	16	7760
4617	14	6221
7534	18	4665
7944	18	6857
7761	16	5460
6620	12	7504
3132	12	6698
8665	18	3921
992	9	633
2053	17	2933
4884	17	1560
7109	18	2674
5052	18	5263
7455	5	127
5982	15	7233
5432	16	7642
3486	15	5274
6782	14	8630
2336	14	7346
4929	16	5945
30	12	3654
3469	4	3239
6028	16	5800
341	18	227
237	13	7284
5320	10	5292
6590	9	3771
902	16	1555
6534	9	6595
1347	16	5649
2699	17	3867
1265	7	1265
5364	12	4793
7632	10	5905
4266	7	4266
7360	12	991
1702	15	6046
3516	5	4167
2014	17	1076
1856	9	3203
8338	14	7329
4382	12	6341
8621	17	1928
1595	13	2886
8613	10	773
